June 25 2013 5:32:08 PM +0200,	467
June 25 2013 5:31:38 PM +0200,	466
June 25 2013 5:31:08 PM +0200,	463
June 25 2013 5:30:38 PM +0200,	458
June 25 2013 5:30:08 PM +0200,	459
June 25 2013 5:29:38 PM +0200,	457
June 25 2013 5:29:08 PM +0200,	458
June 25 2013 5:28:38 PM +0200,	457
June 25 2013 5:28:08 PM +0200,	452
June 25 2013 5:27:38 PM +0200,	469
June 25 2013 5:27:08 PM +0200,	464
June 25 2013 5:26:38 PM +0200,	463
June 25 2013 5:26:08 PM +0200,	470
June 25 2013 5:25:38 PM +0200,	464
June 25 2013 5:25:08 PM +0200,	462
June 25 2013 5:24:38 PM +0200,	458
June 25 2013 5:24:08 PM +0200,	458
June 25 2013 5:23:38 PM +0200,	466
June 25 2013 5:23:08 PM +0200,	469
June 25 2013 5:22:38 PM +0200,	467
June 25 2013 5:22:08 PM +0200,	464
June 25 2013 5:21:38 PM +0200,	463
June 25 2013 5:21:08 PM +0200,	470
June 25 2013 5:20:38 PM +0200,	472
June 25 2013 5:20:08 PM +0200,	473
June 25 2013 5:19:38 PM +0200,	473
June 25 2013 5:19:08 PM +0200,	471
June 25 2013 5:18:38 PM +0200,	474
June 25 2013 5:18:08 PM +0200,	469
June 25 2013 5:17:38 PM +0200,	469
June 25 2013 5:17:08 PM +0200,	474
June 25 2013 5:16:38 PM +0200,	469
June 25 2013 5:16:06 PM +0200,	471
June 25 2013 5:15:36 PM +0200,	470
June 25 2013 5:15:06 PM +0200,	467
June 25 2013 5:14:36 PM +0200,	472
June 25 2013 5:14:06 PM +0200,	470
June 25 2013 5:13:36 PM +0200,	472
June 25 2013 5:13:06 PM +0200,	472
June 25 2013 5:12:36 PM +0200,	469
June 25 2013 5:12:06 PM +0200,	475
June 25 2013 5:11:36 PM +0200,	480
June 25 2013 5:11:06 PM +0200,	476
June 25 2013 5:10:36 PM +0200,	474
June 25 2013 5:10:06 PM +0200,	469
June 25 2013 5:09:36 PM +0200,	469
June 25 2013 5:09:06 PM +0200,	474
June 25 2013 5:08:36 PM +0200,	475
June 25 2013 5:08:06 PM +0200,	472
June 25 2013 5:07:36 PM +0200,	464
June 25 2013 5:07:06 PM +0200,	458
June 25 2013 5:06:36 PM +0200,	483
June 25 2013 5:06:06 PM +0200,	484
June 25 2013 5:05:36 PM +0200,	483
June 25 2013 5:05:06 PM +0200,	480
June 25 2013 5:04:36 PM +0200,	481
June 25 2013 5:04:06 PM +0200,	483
June 25 2013 5:03:36 PM +0200,	480
June 25 2013 5:03:06 PM +0200,	479
June 25 2013 5:02:36 PM +0200,	482
June 25 2013 5:02:05 PM +0200,	483
June 25 2013 5:01:35 PM +0200,	485
June 25 2013 5:01:05 PM +0200,	490
June 25 2013 5:00:35 PM +0200,	486
June 25 2013 5:00:05 PM +0200,	489
June 25 2013 4:59:35 PM +0200,	487
June 25 2013 4:59:05 PM +0200,	484
June 25 2013 4:58:35 PM +0200,	490
June 25 2013 4:58:05 PM +0200,	489
June 25 2013 4:57:35 PM +0200,	491
June 25 2013 4:57:05 PM +0200,	479
June 25 2013 4:56:35 PM +0200,	486
June 25 2013 4:56:05 PM +0200,	492
June 25 2013 4:55:35 PM +0200,	489
June 25 2013 4:55:05 PM +0200,	482
June 25 2013 4:54:35 PM +0200,	478
June 25 2013 4:54:05 PM +0200,	460
June 25 2013 4:53:35 PM +0200,	476
June 25 2013 4:53:05 PM +0200,	467
June 25 2013 4:52:35 PM +0200,	459
June 25 2013 4:52:05 PM +0200,	454
June 25 2013 4:51:35 PM +0200,	453
June 25 2013 4:51:05 PM +0200,	449
June 25 2013 4:50:34 PM +0200,	445
June 25 2013 4:50:04 PM +0200,	437
June 25 2013 4:49:34 PM +0200,	438
June 25 2013 4:49:04 PM +0200,	425
June 25 2013 4:48:34 PM +0200,	429
June 25 2013 4:48:04 PM +0200,	433
June 25 2013 4:47:34 PM +0200,	429
June 25 2013 4:47:04 PM +0200,	427
June 25 2013 4:46:34 PM +0200,	424
June 25 2013 4:46:04 PM +0200,	429
June 25 2013 4:45:34 PM +0200,	432
June 25 2013 4:45:04 PM +0200,	428
June 25 2013 4:44:34 PM +0200,	424
June 25 2013 4:44:04 PM +0200,	419
June 25 2013 4:43:34 PM +0200,	416
June 25 2013 4:43:04 PM +0200,	409
June 25 2013 4:42:34 PM +0200,	405
June 25 2013 4:42:04 PM +0200,	402
June 25 2013 4:41:34 PM +0200,	403
June 25 2013 4:41:04 PM +0200,	390
June 25 2013 4:40:34 PM +0200,	385
June 25 2013 4:40:04 PM +0200,	379
June 25 2013 4:39:34 PM +0200,	383
June 25 2013 4:39:04 PM +0200,	378
June 25 2013 4:38:34 PM +0200,	376
June 25 2013 4:38:04 PM +0200,	371
June 25 2013 4:37:34 PM +0200,	366
June 25 2013 4:37:04 PM +0200,	363
June 25 2013 4:36:34 PM +0200,	360
June 25 2013 4:36:04 PM +0200,	356
June 25 2013 4:35:34 PM +0200,	353
June 25 2013 4:35:04 PM +0200,	352
June 25 2013 4:34:34 PM +0200,	352
June 25 2013 4:34:04 PM +0200,	348
June 25 2013 4:33:34 PM +0200,	348
June 25 2013 4:33:04 PM +0200,	346
June 25 2013 4:32:34 PM +0200,	345
June 25 2013 4:32:04 PM +0200,	339
June 25 2013 4:31:34 PM +0200,	339
June 25 2013 4:31:04 PM +0200,	340
June 25 2013 4:30:34 PM +0200,	334
June 25 2013 4:30:04 PM +0200,	323
June 25 2013 4:29:33 PM +0200,	319
June 25 2013 4:29:03 PM +0200,	324
June 25 2013 4:28:33 PM +0200,	328
June 25 2013 4:28:03 PM +0200,	332
June 25 2013 4:27:33 PM +0200,	334
June 25 2013 4:27:03 PM +0200,	325
June 25 2013 4:26:33 PM +0200,	321
June 25 2013 4:26:03 PM +0200,	318
June 25 2013 4:25:33 PM +0200,	324
June 25 2013 4:25:03 PM +0200,	317
June 25 2013 4:24:33 PM +0200,	322
June 25 2013 4:24:03 PM +0200,	318
June 25 2013 4:23:33 PM +0200,	318
June 25 2013 4:23:03 PM +0200,	322
June 25 2013 4:22:33 PM +0200,	320
June 25 2013 4:22:03 PM +0200,	324
June 25 2013 4:21:33 PM +0200,	322
June 25 2013 4:21:03 PM +0200,	323
June 25 2013 4:20:33 PM +0200,	325
June 25 2013 4:20:03 PM +0200,	330
June 25 2013 4:19:33 PM +0200,	327
June 25 2013 4:19:03 PM +0200,	319
June 25 2013 4:18:33 PM +0200,	317
June 25 2013 4:18:03 PM +0200,	313
June 25 2013 4:17:33 PM +0200,	314
June 25 2013 4:17:03 PM +0200,	304
June 25 2013 4:16:33 PM +0200,	304
June 25 2013 4:16:03 PM +0200,	298
June 25 2013 4:15:33 PM +0200,	295
June 25 2013 4:15:03 PM +0200,	303
June 25 2013 4:14:33 PM +0200,	305
June 25 2013 4:14:03 PM +0200,	296
June 25 2013 4:13:33 PM +0200,	295
June 25 2013 4:13:03 PM +0200,	296
June 25 2013 4:12:33 PM +0200,	293
